weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
800,8000,10,764,1008,2.19,2.33
600,8000,15,405,521,2.4,2.47
620,8000,15,438,567,2.38,0.1
640,8000,15,473,615,2.37,1.99
660,8000,15,508,667,2.35,2.15
680,8000,15,547,729,2.31,0.01
700,8000,15,585,792,2.28,1.87
720,8000,15,625,861,2.26,1.36
740,8000,15,668,940,2.24,0.64
760,8000,15,712,1008,2.22,2.35
780,8000,15,757,1008,2.2,2.33
800,8000,15,804,1008,2.18,2.3
600,8000,20,426,550,2.39,0.93
620,8000,20,462,599,2.38,1.35
640,8000,20,498,651,2.36,1.47
660,8000,20,534,709,2.32,0.67
680,8000,20,574,775,2.29,1.37
700,8000,20,615,843,2.26,1.83
720,8000,20,657,919,2.24,0.14
740,8000,20,702,1001,2.22,1.88
760,8000,20,748,1008,2.2,2.33
780,8000,20,795,1008,2.18,2.31
800,8000,20,845,1008,2.17,0.36
600,8000,25,448,581,2.38,0.54
620,8000,25,486,634,2.37,0.95
640,8000,25,524,692,2.33,1.25
660,8000,25,562,754,2.3,0.75
680,8000,25,604,823,2.27,2.41
700,8000,25,647,902,2.25,0.29
720,8000,25,691,981,2.23,1.58
740,8000,25,738,1008,2.21,2.34
760,8000,25,786,1008,2.18,2.32
780,8000,25,837,1008,2.17,0.66
800,8000,25,889,1008,2.15,1.17
600,8000,30,470,611,2.37,1.83
620,8000,30,510,669,2.35,2.08
640,8000,30,548,732,2.31,0.08
660,8000,30,588,797,2.28,2.01
680,8000,30,633,876,2.25,0.95
700,8000,30,679,958,2.23,1.08
720,8000,30,724,1008,2.21,2.34
740,8000,30,773,1008,2.19,2.32
760,8000,30,824,1008,2.17,1.16
780,8000,30,878,1008,2.16,0.8
800,8000,30,931,1008,2.13,1.36
600,8000,35,493,645,2.36,0.56
620,8000,35,535,710,2.32,0.64
640,8000,35,575,775,2.28,1.38
660,8000,35,618,848,2.26,1.7
680,8000,35,665,934,2.24,0.49
700,8000,35,712,1008,2.22,2.35
720,8000,35,760,1008,2.2,2.33
740,8000,35,812,1008,2.18,1.62
760,8000,35,866,1008,2.16,0.4
780,8000,35,922,1008,2.14,0.3
800,8000,35,978,1008,2.1,0.71
600,8000,40,503,658,2.36,2.48
620,8000,40,545,727,2.31,0.09
640,8000,40,586,793,2.28,1.88
660,8000,40,630,871,2.25,1.09
680,8000,40,678,957,2.24,1.05
700,8000,40,726,1008,2.21,2.34
720,8000,40,775,1008,2.19,2.32
